fact_id,series_evidence_id,scope,component_key,component_name,catalog_position,variant_key,variant_label,field,label,reference_value,reference_unit,source_reference,source_level,verification_status,comparison_source_type,comparison_source_reference,comparison_value,conflict_note,lifecycle_status,target_sku,reviewed_by,reviewed_date,notes_internal
36kd-series-duty-cycle,mig-series-36kd,series,36kd-series,ORK 36KD Series,series,36kd-series,ORK 36KD Air Cooled MIG/MAG Welding Torch,duty_cycle,Catalog Duty Cycle,60,%,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Matches the official reference but still requires exact supplied-product confirmation.
36kd-series-wire-size,mig-series-36kd,series,36kd-series,ORK 36KD Series,series,36kd-series,ORK 36KD Air Cooled MIG/MAG Welding Torch,wire_size,Catalog Wire Size,0.8-1.2,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Matches the official reference but still requires exact supplied-product confirmation.
36kd-complete-torch-3m-presence,mig-series-36kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 36KD Complete Torch 3M,component_presence,Catalog Component,ORK 36KD Complete Torch 3M,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact torch identity and rating are not confirmed.
36kd-complete-torch-3m-length,mig-series-36kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 36KD Complete Torch 3M,cable_length,Cable Length,3,m,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied cable length.
36kd-complete-torch-5m-presence,mig-series-36kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 36KD Complete Torch 5M,component_presence,Catalog Component,ORK 36KD Complete Torch 5M,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact torch identity and rating are not confirmed.
36kd-complete-torch-5m-length,mig-series-36kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 36KD Complete Torch 5M,cable_length,Cable Length,5,m,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied cable length.
36kd-nozzle-cylindrical-19-20mm-presence,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-19-20mm,Cylindrical Nozzle 19/20 mm Reference Conflict,component_presence,Catalog Component,Cylindrical Nozzle 19/20 mm Reference Conflict,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,One exact nozzle profile candidate; shared diagrams require variant confirmation.
36kd-nozzle-cylindrical-19-20mm-profile,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-19-20mm,Cylindrical Nozzle 19/20 mm Reference Conflict,profile,Nozzle Profile,Cylindrical,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact geometry against a drawing or sample.
36kd-nozzle-cylindrical-19-20mm-opening,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-19-20mm,Cylindrical Nozzle 19/20 mm Reference Conflict,opening,Opening Diameter,19,mm,"Renqiu Ailesen welding catalog PDF page 11 (catalog page 15), main component table.",A,DATA_CONFLICT,company_catalog,"Renqiu Ailesen welding catalog PDF page 11 (catalog page 16), wear-parts table.",20 mm,The same company-catalog spread lists the cylindrical nozzle as 19 mm in the main table and 20 mm in the wear-parts table; do not select either value automatically.,blocked,,Official company catalog review,2026-08-21,Resolve with an exact product drawing or measurement.
36kd-nozzle-conical-16mm-presence,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-conical-16mm,Conical Nozzle 16 mm,component_presence,Catalog Component,Conical Nozzle 16 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,One exact nozzle profile candidate; shared diagrams require variant confirmation.
36kd-nozzle-conical-16mm-profile,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-conical-16mm,Conical Nozzle 16 mm,profile,Nozzle Profile,Conical,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact geometry against a drawing or sample.
36kd-nozzle-conical-16mm-opening,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-conical-16mm,Conical Nozzle 16 mm,opening,Opening Diameter,16,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm opening on the exact supplied variant.
36kd-nozzle-tapered-12mm-presence,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-tapered-12mm,Tapered Nozzle 12 mm,component_presence,Catalog Component,Tapered Nozzle 12 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,One exact nozzle profile candidate; shared diagrams require variant confirmation.
36kd-nozzle-tapered-12mm-profile,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-tapered-12mm,Tapered Nozzle 12 mm,profile,Nozzle Profile,Tapered,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact geometry against a drawing or sample.
36kd-nozzle-tapered-12mm-opening,mig-series-36kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-tapered-12mm,Tapered Nozzle 12 mm,opening,Opening Diameter,12,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm opening on the exact supplied variant.
36kd-nozzle-family-outside-diameter,mig-series-36kd,family,gas-nozzle,Gas Nozzle,1,gas-nozzle-family,36KD Gas Nozzle Family,outside_diameter,Catalog Diagram Outside Diameter,24,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared diagram reference only; confirm for each profile.
36kd-nozzle-family-length,mig-series-36kd,family,gas-nozzle,Gas Nozzle,1,gas-nozzle-family,36KD Gas Nozzle Family,overall_length,Catalog Diagram Length,84,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared diagram reference only; confirm for each profile.
36kd-contact-tip-ecu-0-8mm-presence,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,component_presence,Catalog Component,E-Cu Contact Tip 0.8 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact material grade and orifice require confirmation.
36kd-contact-tip-ecu-0-8mm-material,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,material,Catalog Material,E-Cu,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog material designation requires factory confirmation for the supplied item.
36kd-contact-tip-ecu-0-8mm-wire,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,wire_size,Wire Size,0.8,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm marking and actual wire bore on the exact product.
36kd-contact-tip-ecu-1-0mm-presence,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,component_presence,Catalog Component,E-Cu Contact Tip 1.0 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact material grade and orifice require confirmation.
36kd-contact-tip-ecu-1-0mm-material,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,material,Catalog Material,E-Cu,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog material designation requires factory confirmation for the supplied item.
36kd-contact-tip-ecu-1-0mm-wire,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,wire_size,Wire Size,1.0,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm marking and actual wire bore on the exact product.
36kd-contact-tip-ecu-1-2mm-presence,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,component_presence,Catalog Component,E-Cu Contact Tip 1.2 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact material grade and orifice require confirmation.
36kd-contact-tip-ecu-1-2mm-material,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,material,Catalog Material,E-Cu,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog material designation requires factory confirmation for the supplied item.
36kd-contact-tip-ecu-1-2mm-wire,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,wire_size,Wire Size,1.2,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm marking and actual wire bore on the exact product.
36kd-contact-tip-cucrzr-0-8mm-presence,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,component_presence,Catalog Component,CuCrZr Contact Tip 0.8 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact material grade and orifice require confirmation.
36kd-contact-tip-cucrzr-0-8mm-material,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,material,Catalog Material,CuCrZr,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog material designation requires factory confirmation for the supplied item.
36kd-contact-tip-cucrzr-0-8mm-wire,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,wire_size,Wire Size,0.8,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm marking and actual wire bore on the exact product.
36kd-contact-tip-cucrzr-1-0mm-presence,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,component_presence,Catalog Component,CuCrZr Contact Tip 1.0 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact material grade and orifice require confirmation.
36kd-contact-tip-cucrzr-1-0mm-material,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,material,Catalog Material,CuCrZr,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog material designation requires factory confirmation for the supplied item.
36kd-contact-tip-cucrzr-1-0mm-wire,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,wire_size,Wire Size,1.0,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm marking and actual wire bore on the exact product.
36kd-contact-tip-cucrzr-1-2mm-presence,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,component_presence,Catalog Component,CuCrZr Contact Tip 1.2 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Candidate only; exact material grade and orifice require confirmation.
36kd-contact-tip-cucrzr-1-2mm-material,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,material,Catalog Material,CuCrZr,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog material designation requires factory confirmation for the supplied item.
36kd-contact-tip-cucrzr-1-2mm-wire,mig-series-36kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,wire_size,Wire Size,1.2,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm marking and actual wire bore on the exact product.
36kd-contact-tip-family-thread,mig-series-36kd,family,contact-tip,Contact Tip,2,contact-tip-family,36KD Contact Tip Family,thread,Catalog Thread,M8,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Family diagram reference; confirm every supplied variant.
36kd-contact-tip-family-length,mig-series-36kd,family,contact-tip,Contact Tip,2,contact-tip-family,36KD Contact Tip Family,overall_length,Catalog Length,30,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Family diagram reference; confirm every supplied variant.
36kd-contact-tip-family-body-diameter,mig-series-36kd,family,contact-tip,Contact Tip,2,contact-tip-family,36KD Contact Tip Family,outside_diameter,Catalog Body Diameter,10,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Family diagram reference; confirm every supplied variant.
36kd-tip-holder-25mm-presence,mig-series-36kd,variant,tip-holder,Contact Tip Holder,3,tip-holder-25mm,Contact Tip Holder M8 x 25 mm,component_presence,Catalog Component,Contact Tip Holder M8 x 25 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Separate candidate; do not merge the three holder lengths.
36kd-tip-holder-25mm-length,mig-series-36kd,variant,tip-holder,Contact Tip Holder,3,tip-holder-25mm,Contact Tip Holder M8 x 25 mm,overall_length,Catalog Length,25,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact length on the supplied holder.
36kd-tip-holder-28mm-presence,mig-series-36kd,variant,tip-holder,Contact Tip Holder,3,tip-holder-28mm,Contact Tip Holder M8 x 28 mm,component_presence,Catalog Component,Contact Tip Holder M8 x 28 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Separate candidate; do not merge the three holder lengths.
36kd-tip-holder-28mm-length,mig-series-36kd,variant,tip-holder,Contact Tip Holder,3,tip-holder-28mm,Contact Tip Holder M8 x 28 mm,overall_length,Catalog Length,28,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact length on the supplied holder.
36kd-tip-holder-34mm-presence,mig-series-36kd,variant,tip-holder,Contact Tip Holder,3,tip-holder-34mm,Contact Tip Holder M8 x 34 mm,component_presence,Catalog Component,Contact Tip Holder M8 x 34 mm,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Separate candidate; do not merge the three holder lengths.
36kd-tip-holder-34mm-length,mig-series-36kd,variant,tip-holder,Contact Tip Holder,3,tip-holder-34mm,Contact Tip Holder M8 x 34 mm,overall_length,Catalog Length,34,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact length on the supplied holder.
36kd-tip-holder-family-thread,mig-series-36kd,family,tip-holder,Contact Tip Holder,3,tip-holder-family,36KD Contact Tip Holder Family,thread,Catalog Threads,M8 / M8,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Diagram reference only; confirm both interfaces for each holder length.
36kd-gas-diffuser-dmc-presence,mig-series-36kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,component_presence,Catalog Component,Gas Diffuser DMC,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Separate material/construction candidate; exact interfaces require confirmation.
36kd-gas-diffuser-dmc-variant,mig-series-36kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,variant,Catalog Variant,DMC,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog label only; confirm actual supplied construction.
36kd-gas-diffuser-ceramic-presence,mig-series-36kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,component_presence,Catalog Component,Gas Diffuser Ceramic,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Separate material/construction candidate; exact interfaces require confirmation.
36kd-gas-diffuser-ceramic-variant,mig-series-36kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,variant,Catalog Variant,Ceramic,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog label only; confirm actual supplied construction.
36kd-gas-diffuser-family-length,mig-series-36kd,family,gas-diffuser,Gas Diffuser,4,gas-diffuser-family,36KD Gas Diffuser Family,overall_length,Catalog Diagram Length,31,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared diagram reference only; confirm both variants.
36kd-swan-neck-presence,mig-series-36kd,variant,swan-neck,Swan Neck,5,swan-neck,Swan Neck,component_presence,Catalog Component,Swan Neck,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog-presence candidate only; exact product identity requires confirmation.
36kd-cable-support-spring-presence,mig-series-36kd,variant,cable-support-spring,Cable Support Spring,6,cable-support-spring,Cable Support Spring,component_presence,Catalog Component,Cable Support Spring,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog-presence candidate only; exact product identity requires confirmation.
36kd-rear-handle-presence,mig-series-36kd,variant,rear-handle,Rear Handle,7,rear-handle,Rear Handle,component_presence,Catalog Component,Rear Handle,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog-presence candidate only; exact product identity requires confirmation.
36kd-adaptor-nut-presence,mig-series-36kd,variant,adaptor-nut,Adaptor Nut,8,adaptor-nut,Adaptor Nut,component_presence,Catalog Component,Adaptor Nut,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog-presence candidate only; exact product identity requires confirmation.
36kd-swan-neck-thread,mig-series-36kd,variant,swan-neck,Swan Neck,5,swan-neck,Swan Neck,thread,Catalog Front Thread,M8,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm exact front interface and neck geometry.
36kd-euro-connector-presence,mig-series-36kd,variant,euro-connector,Euro Connector,9,euro-connector,Euro Connector,component_presence,Catalog Component,Euro Connector,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog-presence candidate only; pin and gas/power interfaces require confirmation.
36kd-euro-connector-type,mig-series-36kd,variant,euro-connector,Euro Connector,9,euro-connector,Euro Connector,connection,Catalog Connection Type,Euro Connector,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Generic catalog label only; exact connector arrangement requires confirmation.
36kd-connector-nut-presence,mig-series-36kd,variant,connector-nut,Connector Nut,10,nut-m10x1,Nut M10 x 1,component_presence,Catalog Component,Nut M10 x 1,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm thread direction and actual dimensions.
36kd-connector-nut-thread,mig-series-36kd,variant,connector-nut,Connector Nut,10,nut-m10x1,Nut M10 x 1,thread,Catalog Thread,M10 x 1,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm thread direction and fit on the exact assembly.
36kd-liner-3-5m-presence,mig-series-36kd,variant,torch-liner,Torch Liner,11,liner-3-5m,Torch Liner 3.5 m,component_presence,Catalog Component,Torch Liner for 0.8-1.2 mm wire / 3.5 m,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; liner ends and construction require confirmation.
36kd-liner-3-5m-wire,mig-series-36kd,variant,torch-liner,Torch Liner,11,liner-3-5m,Torch Liner 3.5 m,wire_size,Catalog Wire Size,0.8-1.2,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual wire range for the supplied liner.
36kd-liner-3-5m-length,mig-series-36kd,variant,torch-liner,Torch Liner,11,liner-3-5m,Torch Liner 3.5 m,cable_length,Catalog Liner Length,3.5,m,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied liner length.
36kd-liner-5-5m-presence,mig-series-36kd,variant,torch-liner,Torch Liner,11,liner-5-5m,Torch Liner 5.5 m,component_presence,Catalog Component,Torch Liner for 0.8-1.2 mm wire / 5.5 m,,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; liner ends and construction require confirmation.
36kd-liner-5-5m-wire,mig-series-36kd,variant,torch-liner,Torch Liner,11,liner-5-5m,Torch Liner 5.5 m,wire_size,Catalog Wire Size,0.8-1.2,mm,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual wire range for the supplied liner.
36kd-liner-5-5m-length,mig-series-36kd,variant,torch-liner,Torch Liner,11,liner-5-5m,Torch Liner 5.5 m,cable_length,Catalog Liner Length,5.5,m,Renqiu Ailesen welding catalog PDF page 11 (catalog pages 15-16).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied liner length.
40kd-series-designation,mig-series-40kd,series,40kd-series,ORK 40KD Series,series,40kd-series,ORK 40KD Air Cooled MIG/MAG Welding Torch,series_designation,Series Designation,ORK 40KD,,Renqiu Ailesen welding catalog PDF page 12 (catalog pages 17-18).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog family reference only; not a canonical ArcFort Weld model.
40kd-series-compatibility-wording,mig-series-40kd,series,40kd-series,ORK 40KD Series,series,40kd-series,ORK 40KD Air Cooled MIG/MAG Welding Torch,compatibility_statement,Catalog Compatibility Wording,Compatible orch and Parts For BINZEL,,Renqiu Ailesen welding catalog PDF page 12 (catalog pages 17-18).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Source wording only; it is not confirmed compatibility.
40kd-series-cooling,mig-series-40kd,series,40kd-series,ORK 40KD Series,series,40kd-series,ORK 40KD Air Cooled MIG/MAG Welding Torch,cooling_method,Cooling Method,Air cooled,,Renqiu Ailesen welding catalog PDF page 12 (catalog pages 17-18).,A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm the exact supplied arrangement before publication.
